Names,Players,Year,Month,Day,Age_2008
Shahid Afridi,All_Rounder,1977,March,1,31
Shakib Al Hasan,All_Rounder,1987,March,24,21
Shashank Singh,Bowler,1991,November,21,17
Shivam Mavi,Bowler,1998,November,26,10
Shivam Sharma,All_Rounder,1993,September,9,15
Shoaib Ahmed,All_Rounder,1981,February,10,27
Shoaib Akhtar,Bowler,1975,August,13,33
Shoaib Malik,All_Rounder,1982,February,1,26
Shubman Gill,Batter,1999,September,8,9
Simarjeet Singh,Batter,1998,January,7,10
SJ Srivastava,Bowler,1981,September,22,27
SK Raina,All_Rounder,1986,November,27,22
SK Trivedi,Batter,1982,September,4,26
SK Warne,Bowler,1969,September,13,39
SL Malinga,Bowler,1983,August,28,25
SM Boland,Bowler,1989,April,11,19
SM Curran,All_Rounder,1998,June,3,10
SM Harwood,Bowler,1974,March,1,34
SM Katich,Batter,1975,August,21,33
SM Pollock,All_Rounder,1973,July,16,35
SMSM Senanayake,Bowler,1985,February,9,23
SN Khan,Batter,1997,October,22,11
SN Thakur,Bowler,1991,October,16,17
SO Hetmyer,All_Rounder,1996,December,26,12
Sohail Tanvir,Bowler,1984,December,12,24
SP Fleming,Batter,1973,April,1,35
SP Goswami,Batter,1989,May,18,19
SP Jackson,Batter,1986,September,27,22
SP Narine,All_Rounder,1988,May,26,20
SPD Smith,All_Rounder,1989,June,2,19
SR Tendulkar,Batter,1973,April,24,35
SR Watson,All_Rounder,1981,June,17,27
SS Agarwal,Batter,1993,November,21,15
SS Iyer,Batter,1994,December,6,14
SS Mundhe,Bowler,1988,October,27,20
SS Prabhudessai,Batter,1997,December,6,11
SS Sarkar,All_Rounder,1993,February,25,15
SS Shaikh,All_Rounder,1987,January,18,21
SS Tiwary,Batter,1989,December,30,19
ST Jayasuriya,All_Rounder,1969,June,30,39
STR Binny,All_Rounder,1985,June ,3,23
Sunny Gupta,All_Rounder,1988,September,27,20
Sunny Singh,Batter,1986,December,18,22
SV Samson,Batter,1984,November,11,24
SW Billings,Batter,1991,June,5,17
SW Tait,Bowler,1983,February,22,25
Swapnil Singh,Bowler,1991,January,22,17
T Henderson,Bowler,1974,August,1,34
T Kohli,All_Rounder,1988,December,17,20
T Natarajan,Bowler,1991,April,4,17
T Shamsi,Bowler,1990,February,18,18
T Stubbs,Batter,2000,August,14,8
T Taibu,All_Rounder,1983,May,14,25
T Thushara,All_Rounder,1981,March,1,27
TA Boult,Bowler,1989,July,22,19
TD Paine,Batter,1984,December,8,24
Tejas Baroka,Bowler,1996,February,1,12
TG Southee,Bowler,1988,December,11,20
TH David,Batter,1996,March,16,12
Tilak Varma,Batter,2002,November,8,6
TK Curran,All_Rounder,1995,March,12,13
TL Seifert,Batter,1994,December,14,14
TL Suman,Batter,1983,December,15,25
TM Dilshan,All_Rounder,1976,October,14,32
TM Head,Batter,1993,December,29,15
TM Srivastava,Batter,1989,November,7,19
TP Sudhindra,Bowler,1984,April,24,24
TR Birt,Batter,1981,December,9,27
TS Mills,Bowler,1992,August,12,16
TU Deshpande,Bowler,1995,May,15,13
U Kaul,Batter,1987,December,2,21
UA Birla,Batter,1997,July,9,11
UBT Chand,Batter,1993,March,26,15
Umar Gul,Bowler,1982,October,15,26
Umran Malik,Bowler,1999,November,22,9
UT Khawaja,Batter,1986,December,18,22
UT Yadav,Bowler,1987,May ,25,21
V Kohli,Batter,1988,November,5,20
V Pratap Singh,Bowler,1992,May ,3,16
V Sehwag,Batter,1978,October,20,30
V Shankar,All_Rounder,1991,January,26,17
VG Arora,Bowler,1997,December,14,11
VH Zol,Batter,1994,November,23,14
Virat Singh,Batter,1997,December,8,11
Vishnu Vinod,Batter,1993,December,2,15
VR Aaron,Bowler,1989,October,29,19
VR Iyer,Batter,1994,December,25,14
VRV Singh,Bowler,1984,September,17,24
VS Malik,Bowler,1999,November,22,9
VS Yeligati,Bowler,1985,April,23,23
VVS Laxman,Batter,1974,November,1,34
VY Mahesh,Bowler,1987,December,21,21
W Jaffer,Batter,1978,February,16,30
WA Mota,All_Rounder,1981,September,20,27
Washington Sundar,All_Rounder,1995,October,5,13
WD Parnell,Bowler,1989,July,30,19
WP Saha,Batter,1984,October,24,24
WPUJC Vaas,Bowler,1974,January,27,34
X Thalaivan Sargunam,Batter,1985,May,15,23
Y Gnaneswara Rao,All_Rounder,1984,June,2,24
Y Nagar,All_Rounder,1990,January,6,18
Y Prithvi Raj,Bowler,1998,February,20,10
Y Venugopal Rao,All_Rounder,1982,February,26,26
YA Abdulla,Batter,1983,January,17,25
Yash Dayal,Bowler,1997,December,13,11
Yashpal Singh,Batter,1981,November,27,27
YBK Jaiswal,Batter,2001,December,28,7
YK Pathan,All_Rounder,1982,November,17,26
Younis Khan,Batter,1977,November,29,31
YS Chahal,Bowler,1990,July,23,18
